GenesetID	Description	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
KEGG_hsa05320	Autoimmune thyroid disease (http://www.ncbi.nlm.nih.gov/biosystems?term=83121)	8.00540364746204e-06	0.0159167438020664	0.830479660955972	1.68375077820826	7	25	HLA-DRB1,HLA-DRA,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-B,HLA-C,HLA-DRB5
KEGG_hsa05330	Allograft rejection (http://www.ncbi.nlm.nih.gov/biosystems?term=83123)	1.80197857247257e-05	0.0159167438020664	0.827474838786078	1.66818235208244	17	23	HLA-DRB1,HLA-DRA,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-B,HLA-C,HLA-DRB5
KEGG_hsa05332	Graft-versus-host disease (http://www.ncbi.nlm.nih.gov/biosystems?term=83124)	2.20148600305206e-05	0.0159167438020664	0.813113248685042	1.64854135460575	21	25	HLA-DRB1,HLA-DRA,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-B,HLA-C,HLA-DRB5
KEGG_hsa05150	Staphylococcus aureus infection (http://www.ncbi.nlm.nih.gov/biosystems?term=172846)	4.10014760531379e-05	0.022233050389814	0.752187190265185	1.56153354094947	40	37	HLA-DRB1,HLA-DRA,HLA-DQA1,HLA-DQA2,HLA-DQB1,CFH,C2,MASP1,CFB,HLA-DRB5,FGG,C4B
KEGG_hsa05416	Viral myocarditis (http://www.ncbi.nlm.nih.gov/biosystems?term=125138)	7.3e-05	0.0267814863506618	0.70836474632635	1.49211895485968	72	49	HLA-DRB1,HLA-DRA,HLA-DQA1,HLA-DQA2,HLA-DQB1,RAC2,HLA-B,HLA-C,ABL2,HLA-DRB5,CXADR,FYN
KEGG_hsa04612	Antigen processing and presentation (http://www.ncbi.nlm.nih.gov/biosystems?term=83074)	7.9000079000079e-05	0.0267814863506618	0.709903337743878	1.49232392301207	78	47	HLA-DRB1,HLA-DRA,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-B,HSPA1L,HLA-C,HLA-DRB5
KEGG_hsa04940	Type I diabetes mellitus (http://www.ncbi.nlm.nih.gov/biosystems?term=83095)	8.80235022751075e-05	0.0267814863506618	0.772462408287623	1.5811040599671	87	29	HLA-DRB1,HLA-DRA,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-B,HLA-C,HLA-DRB5
REACTOME_R_HSA_202430	Translocation of ZAP-70 to Immunological synapse (http://www.ncbi.nlm.nih.gov/biosystems?term=1269174)	9.87791105603016e-05	0.0267814863506618	0.886482696341084	1.68919707958505	96	12	HLA-DRB1,HLA-DRA,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRB5
KEGG_hsa05310	Asthma (http://www.ncbi.nlm.nih.gov/biosystems?term=83120)	0.000115212798037976	0.0277662843271522	0.81079950095858	1.6239102045178	114	21	HLA-DRB1,HLA-DRA,HLA-DQA1,HLA-DQA2,HLA-DQB1,PRG2,HLA-DRB5,RNASE3,IL13
REACTOME_R_HSA_389948	PD-1 signaling (http://www.ncbi.nlm.nih.gov/biosystems?term=1269182)	0.000147049577004286	0.0318950532522296	0.870847820236273	1.67338214375064	144	13	HLA-DRB1,HLA-DRA,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,PDCD1LG2,HLA-DRB5
KEGG_hsa05321	Inflammatory bowel disease (IBD) (http://www.ncbi.nlm.nih.gov/biosystems?term=842771)	0.00025000175001225	0.0492957996160519	0.704297914830167	1.47389871385207	249	43	HLA-DRB1,HLA-DRA,HLA-DQA1,HLA-DQA2,HLA-DQB1,RORC,TGFB1,STAT6,HLA-DRB5,TLR2,SMAD3,IL13
REACTOME_R_HSA_202427	Phosphorylation of CD3 and TCR zeta chains (http://www.ncbi.nlm.nih.gov/biosystems?term=1269173)	0.000293165305806796	0.0529896290245784	0.849580315123154	1.64442561253735	289	14	HLA-DRB1,HLA-DRA,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRB5
REACTOME_R_HSA_202433	Generation of second messenger molecules (http://www.ncbi.nlm.nih.gov/biosystems?term=1269175)	0.00040574941917722	0.0676977300150301	0.786457831135719	1.57515747838315	404	21	HLA-DRB1,HLA-DRA,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRB5,PAK2
KEGG_hsa05323	Rheumatoid arthritis (http://www.ncbi.nlm.nih.gov/biosystems?term=200309)	0.000518999481000519	0.0804078481635804	0.65340413787768	1.39134257991154	518	62	HLA-DRB1,HLA-DRA,HLA-DQA1,HLA-DQA2,HLA-DQB1,TGFB1,ATP6V1B1,CXCL6,TEK,ATP6V0E2,HLA-DRB5,ATP6V1G2,ATP6V1C2,TLR2,CTSK,ANGPT1,TNFSF13,CSF1,VEGFA,CCL3L1,CD80,IL15,CXCL12,ATP6V1G1
KEGG_hsa04145	Phagosome (http://www.ncbi.nlm.nih.gov/biosystems?term=153910)	0.000702999297000703	0.101653698346302	0.596449899403088	1.29833723142949	702	112	HLA-DRB1,HLA-DRA,HLA-DQA1,HLA-DQA2,HLA-DQB1,PLA2R1,EEA1,HLA-B,ATP6V1B1,TUBA3D,HLA-C,CLEC7A,ATP6V0E2,HLA-DRB5,ATP6V1G2,ATP6V1C2,MRC2,TLR2,PIK3C3,SCARB1,CTSS,NCF1,TUBAL3
KEGG_hsa04659	Th17 cell differentiation (http://www.ncbi.nlm.nih.gov/biosystems?term=1469482)	0.001001998998001	0.125324511682421	0.635839840619022	1.35834455354039	1001	67	HLA-DRB1,HLA-DRA,HLA-DQA1,HLA-DQA2,HLA-DQB1,RORC,TGFB1,STAT6,PRKCQ,HLA-DRB5,SMAD3,SMAD4,TGFBR1,IL17D,HIF1A,MAPK9,CD4,MAPK12,IL1RAP,IL27RA,STAT1,PPP3CA,IKBKB
REACTOME_R_HSA_877300	Interferon gamma signaling (http://www.ncbi.nlm.nih.gov/biosystems?term=1269314)	0.00103699896300104	0.125324511682421	0.635222634198573	1.35702601555949	1036	67	HLA-DRB1,HLA-DRA,HLA-DQA1,HLA-DQA2,HLA-DQB1,OASL,HLA-DQB2,CD44,HLA-B,HLA-C,SOCS1,HLA-DRB5
Pathway Interaction Database_ecadherin_stabilization_pathway	Stabilization and expansion of the E-cadherin adherens junction (http://www.ncbi.nlm.nih.gov/biosystems?term=137918)	0.00104003744134789	0.125324511682421	0.696840552063381	1.44663443996845	1039	37	EXOC3,MET,ZYX,EXOC4,LIMA1,CAMSAP3,GIT1,HGF
